Family,Genus,Species,Abundance,Locality,Province/Territory,Ecozone,Side,Latitude,Longitude,Moisture_Regime,Replicate,Date,Trapping_Method
Heleomyzidae,Aecothea,Aecothea sp. A,2,Aulavik_National_Park,NT,HA,W,73.22181,-119.56059,Mesic,1,7-11.vii.2011,MalaiseTrap
Piophilidae,Arctopiophila,Arctopiophila arctica,10,Aulavik_National_Park,NT,HA,W,73.22181,-119.56059,Mesic,1,7-11.vii.2011,MalaiseTrap
Ulidiidae,Curranops,Curranops scutellaris (Coquillet),1,Aulavik_National_Park,NT,HA,W,73.22181,-119.56059,Mesic,1,7-11.vii.2011,MalaiseTrap
Heleomyzidae,Neoleria,Neoleria ruficauda,1,Aulavik_National_Park,NT,HA,W,73.22181,-119.56059,Mesic,1,19.vii.2011,Sweep
Piophilidae,Parapiophila,Parapiophila fulviceps,5,Aulavik_National_Park,NT,HA,W,73.22181,-119.56059,Mesic,1,7-11.vii.2011,MalaiseTrap
Piophilidae,Parapiophila,Parapiophila fulviceps,2,Aulavik_National_Park,NT,HA,W,73.22181,-119.56059,Mesic,1,7-11.vii.2011,PanTrap
Piophilidae,Parapiophila,Parapiophila fulviceps,1,Aulavik_National_Park,NT,HA,W,73.22181,-119.56059,Mesic,1,11-15.vii.2011,PanTrap
Piophilidae,Parapiophila,Parapiophila fulviceps,5,Aulavik_National_Park,NT,HA,W,73.22181,-119.56059,Mesic,1,15-19.vii.2011,PanTrap
Piophilidae,Lasiopiophila,Lasiopiophila pilosa,1,Aulavik_National_Park,NT,HA,W,73.22656,-119.57728,Mesic,2,11-15.vii.2011,MalaiseTrap
Heleomyzidae,Neoleria,Neoleria ruficauda,1,Aulavik_National_Park,NT,HA,W,73.22656,-119.57728,Mesic,2,11-15.vii.2011,MalaiseTrap
Heleomyzidae,Aecothea,Aecothea sp. A,3,Aulavik_National_Park,NT,HA,W,73.22855,-119.58662,Mesic,3,15-19.vii.2011,MalaiseTrap
Chloropidae,Oscinella,Oscinella sp. D,1,Aulavik_National_Park,NT,HA,W,73.22855,-119.58662,Mesic,3,15-19.vii.2011,PanTrap
Piophilidae,Parapiophila,Parapiophila fulviceps,2,Aulavik_National_Park,NT,HA,W,73.22855,-119.58662,Mesic,3,15-19.vii.2011,MalaiseTrap
Piophilidae,Parapiophila,Parapiophila fulviceps,5,Aulavik_National_Park,NT,HA,W,73.22855,-119.58662,Mesic,3,7-11.vii.2011,PanTrap
