site;habitat;replicate;mean  soil depth;sd soil depth;max veg height;graminoid cover;moss cover;lichen cover;forb cover;shrub cover
BAN;mesic;1;41.66666667;6.687456777;9.166666667;3.5;0.833333333;0.333333333;1.5;0
BAN;mesic;2;44.44444444;6.968699573;9.027777778;3.25;0.805555556;0.388888889;1.416666667;0
BAN;mesic;3;48.18518519;7.673714038;8.865740741;2.958333333;0.606481481;0.453703704;1.486111111;0
BAN;wet;1;48.38271605;6.21405359;9.510030864;3.451388889;0.707561728;0.529320988;1.233796296;0
BAN;wet;2;45.27983539;6.793293723;10.26170267;3.359953704;0.825488683;0.284207819;1.272762346;0
BAN;wet;3;45.49314129;6.55620295;10.30531979;3.586612654;0.796403464;0.331575789;1.318222737;0
CAM;mesic;1;31.46666667;6.361480217;15.33333333;3;1.333333333;0.5;3;0.666666667
CAM;mesic;3;29.88518519;5.985689004;15.81481481;3.166666667;1.064814815;0.513888889;3.027777778;0.546296296
CAM;wet;1;30.66604938;5.09989676;16.78395062;3.361111111;1.075617284;0.43287037;2.865740741;0.637345679
CAM;wet;2;34.01039095;5.145378328;17.91460905;3.587962963;1.254886831;0.338348765;2.676697531;0.743569959
CAM;wet;3;34.21212277;5.263196682;17.0670439;3.519290123;1.29736797;0.394740226;2.956147119;0.867498285
CHU;mesic;1;24.3;5.535479112;17.5;2.2;2.2;3.6;3.8;0.6
CHU;mesic;2;21.86;3.86768755;16;2.04;1.84;3.92;3.96;0.72
CHU;mesic;3;22.432;3.882937515;16.2;2.248;2.008;3.904;3.952;0.864
CHU;wet;1;24.4184;4.159525018;16.44;2.0976;2.0096;3.8848;3.9424;0.4368
CHU;wet;2;24.20208;3.907455852;16.228;1.91712;1.81152;3.86176;3.73088;0.52416
CHU;wet;3;23.442496;4.270617009;16.4736;2.100544;1.973824;3.834112;3.877056;0.628992
GOO;mesic;1;58.2;10.06528243;36;0.4;2.4;2;0;2.6
GOO;mesic;2;49.84;12.07833892;38.2;0.28;1.88;2.4;0;2.72
GOO;mesic;3;53.208;13.59957952;39.84;0.336;2.256;1.88;0;3.064
GOO;wet;1;58.6496;15.74940771;37.808;0.4032;2.7072;1.256;0;3.2768
